temperature,ph_level,moisture,risk_score,risk_class
38.84,9.28,88.75,6,High
38.8,7.41,81.71,3,Medium
39.58,8.18,86.12,6,High
37.38,5.88,34.76,0,Low
37.51,5.17,41.79,1,Low
37.1,4.6,47.63,0,Low
37.32,6.81,58.86,0,Low
36.32,5.33,41.14,0,Low
38.93,7.51,93.43,5,High
38.85,8.08,92.99,6,High
39.22,9.5,89.02,6,High
36.97,6.15,56.7,0,Low
36.88,6.8,52.47,0,Low
39.07,7.43,99.86,4,High
36.64,4.4,38.44,0,Low
37.95,6.35,58.55,1,Low
38.15,8.27,97.84,5,High
37.39,4.5,42.14,0,Low
37.1,6.47,23.86,0,Low
37.23,3.99,51.8,1,Low
36.64,5.39,66.13,1,Low
36.57,4.63,33.96,0,Low
38.08,8.05,90.82,5,High
38.04,8.85,68.78,4,High
39.51,8.34,100.0,6,High
38.75,7.13,77.04,3,Medium
39.13,7.38,100.0,4,High
36.48,4.41,52.47,0,Low
36.11,5.83,49.26,0,Low
39.28,8.21,93.06,6,High
37.64,4.59,63.67,1,Low
37.0,5.51,58.76,0,Low
39.55,9.31,87.93,6,High
38.59,7.99,100.0,5,High
38.33,9.17,95.0,5,High
38.63,8.28,84.71,5,High
35.71,5.48,48.88,0,Low
38.67,7.66,95.82,5,High
39.21,9.44,100.0,6,High
38.58,8.45,89.44,6,High
39.13,8.19,100.0,6,High
39.6,7.44,81.78,3,Medium
38.44,6.03,70.24,2,Medium
36.51,5.59,39.78,0,Low
37.34,6.28,87.58,2,Medium
36.1,4.78,25.83,0,Low
37.28,4.9,67.69,1,Low
36.58,5.45,12.93,0,Low
38.87,9.09,97.72,6,High
38.52,6.59,60.96,2,Medium
37.8,8.03,73.41,4,High
39.44,8.86,96.27,6,High
38.2,6.93,82.39,2,Medium
37.92,8.18,86.22,5,High
36.37,6.02,54.61,0,Low
38.71,8.4,89.83,6,High
37.96,7.01,66.25,2,Medium
37.24,5.68,41.69,0,Low
38.95,7.46,95.38,4,High
40.46,9.07,95.69,6,High
36.68,4.3,24.13,0,Low
36.58,3.53,38.47,1,High
36.27,4.76,65.69,1,Low
36.32,4.95,44.66,0,Low
36.22,5.71,39.96,0,Low
38.87,8.27,74.22,5,High
38.33,7.16,92.3,3,Medium
39.77,9.5,96.07,6,High
39.48,7.86,90.86,5,High
38.1,6.28,63.13,1,Low
37.83,5.26,55.44,1,Low
36.16,5.29,47.63,0,Low
36.98,5.75,52.3,0,Low
38.45,7.54,73.76,3,Medium
35.43,4.8,41.33,0,Low
37.39,3.98,61.93,1,Low
36.03,4.84,41.18,0,Low
39.29,8.61,98.43,6,High
37.88,6.78,86.88,3,Medium
38.33,8.2,81.32,4,High
37.84,6.27,70.64,2,Medium
36.48,4.68,43.01,0,Low
37.03,7.17,65.49,1,Low
36.9,5.82,32.87,0,High
38.15,7.78,100.0,4,High
36.03,4.68,44.09,0,Low
37.02,5.52,74.9,1,Low
38.63,8.3,93.33,6,High
37.72,7.48,72.85,2,Medium
37.92,7.11,87.18,3,Medium
38.51,6.31,64.76,2,Medium
38.81,7.6,100.0,5,High
36.45,5.45,47.67,0,Low
37.23,6.68,69.42,1,Low
38.52,6.7,81.35,3,Medium
37.93,8.15,75.83,4,High
37.88,7.68,64.1,2,Medium
36.06,5.99,49.71,0,Low
36.54,5.36,41.99,0,Low
38.51,8.4,87.14,6,High
37.23,6.86,68.19,1,Low
36.7,5.52,53.42,0,Low
37.78,6.35,59.56,1,Low
37.91,6.17,70.96,2,Medium
37.07,7.46,65.26,1,Low
38.24,8.45,100.0,5,High
36.49,5.75,23.27,0,Low
39.12,4.63,69.02,3,Medium
37.77,6.47,78.12,2,Medium
38.35,8.1,94.12,5,High
35.78,6.39,37.29,0,Low
37.82,4.72,51.58,1,Low
38.19,5.59,56.16,1,Low
37.77,5.42,78.19,2,Medium
39.8,9.29,88.01,6,High
37.28,7.3,65.02,1,Low
38.73,7.92,87.4,5,High
37.51,8.19,56.75,3,Medium
36.09,5.0,39.12,0,Low
37.0,6.05,59.29,0,Low
39.01,7.73,82.07,4,High
36.38,5.17,22.06,0,Low
39.81,8.87,85.32,6,High
36.83,3.38,58.32,1,High
35.74,5.64,43.79,0,Low
35.92,5.42,53.11,0,Low
38.4,6.32,59.96,1,Low
38.64,6.18,84.8,3,Medium
38.82,8.52,92.64,6,High
38.23,6.79,66.31,2,Medium
37.83,6.16,76.0,2,Medium
38.14,6.44,57.91,1,Low
39.83,8.73,86.9,6,High
38.59,6.52,63.67,2,Medium
36.58,6.24,28.22,0,Low
38.94,6.82,67.36,3,Medium
39.55,7.74,89.24,5,High
37.38,5.81,44.62,0,Low
39.82,7.98,81.16,4,High
37.58,5.64,63.77,1,Low
37.71,7.08,62.77,1,Low
36.35,6.34,40.82,0,Low
37.96,9.11,86.18,5,High
36.54,5.43,53.05,0,Low
37.15,4.47,54.34,0,Low
38.07,6.43,70.5,2,Medium
38.02,6.84,64.6,1,Low
37.97,6.31,68.71,2,Medium
37.77,5.74,48.28,1,Low
35.61,3.21,40.21,1,Low
36.48,5.14,56.04,0,Low
38.1,6.81,73.48,2,Medium
38.59,6.72,87.74,4,High
38.27,6.75,66.72,2,Medium
37.75,4.67,39.37,1,Low
39.64,9.33,89.86,6,High
37.69,6.81,59.93,1,Low
39.02,7.18,69.89,3,Medium
38.67,6.86,67.11,3,Medium
37.61,6.92,55.58,1,Low
37.85,7.73,67.99,3,Medium
35.99,5.53,34.49,0,Low
36.6,5.08,24.53,0,Low
39.38,7.97,88.2,5,Low
37.38,6.77,79.94,1,Low
37.71,5.69,79.41,2,Medium
36.17,5.06,30.56,0,Low
37.17,5.95,83.57,1,Low
38.13,6.13,77.6,2,Medium
37.92,6.84,93.28,3,Medium
37.6,7.35,91.38,3,Medium
37.48,6.61,65.83,1,Low
38.12,9.04,78.62,4,Low
38.42,6.78,60.21,1,Low
38.76,7.75,91.64,5,High
39.39,8.27,91.52,6,High
37.68,6.22,64.52,1,Low
38.85,7.7,73.82,4,High
36.78,5.1,59.39,0,Low
39.36,9.03,96.13,6,High
40.01,8.77,95.65,6,High
37.88,6.53,76.21,2,Medium
38.79,6.79,100.0,4,High
38.13,7.97,73.0,3,Medium
35.98,6.68,58.05,0,Low
39.76,7.5,87.69,4,High
35.67,5.39,51.39,0,Low
35.81,6.13,38.29,0,Low
37.29,5.93,74.04,1,Low
39.34,7.8,80.3,4,High
38.07,6.58,70.34,2,Medium
38.44,6.55,59.56,1,Medium
35.87,4.38,36.37,0,Low
36.22,5.49,25.74,0,Low
36.43,4.88,27.54,0,Low
36.4,4.72,46.82,0,Low
39.79,8.49,83.54,5,High
38.97,8.93,85.2,6,High
38.0,8.23,100.0,5,High
36.7,4.82,51.08,0,Low
37.44,5.05,40.13,0,Low
35.99,5.39,35.16,0,Low
37.25,6.9,81.5,1,Low
38.91,6.46,71.41,3,Medium
38.26,7.02,79.97,2,Medium
37.48,5.37,68.58,1,Low
37.82,9.5,85.41,5,High
36.61,5.74,36.74,0,Low
36.47,6.11,50.26,0,Low
37.6,8.15,93.28,5,High
39.48,7.98,90.39,5,High
35.46,5.41,40.99,0,Low
38.07,7.78,80.39,3,Medium
39.43,8.72,89.3,6,High
38.52,8.7,89.66,6,High
37.89,8.7,85.63,5,Low
38.52,5.75,69.55,3,Medium
38.09,7.79,56.71,2,Medium
39.52,8.09,88.9,6,High
36.77,5.41,51.74,0,Low
37.1,5.82,47.23,0,Low
37.84,6.96,58.55,1,Low
38.05,8.56,91.33,5,High
36.78,4.96,51.2,0,Low
37.5,6.18,64.62,0,Low
37.97,6.65,65.77,2,Medium
39.15,6.18,64.42,2,Medium
39.15,7.37,96.74,4,High
37.05,4.85,39.72,0,Low
39.24,8.78,93.48,6,High
38.21,7.77,71.35,3,Medium
39.41,8.33,92.01,6,High
37.27,6.73,72.21,1,Low
36.77,5.01,54.28,0,Low
39.0,7.38,100.0,4,High
38.85,7.99,86.09,5,High
37.29,5.31,43.71,0,Low
38.94,8.09,92.7,6,High
39.05,8.32,94.82,6,High
38.26,6.07,64.27,1,Low
38.26,8.81,82.25,4,High
38.53,6.34,68.12,3,Medium
38.32,7.48,77.39,2,Medium
36.64,4.63,35.22,0,Low
39.36,7.78,90.32,5,Medium
36.69,4.71,33.57,0,Low
37.96,7.98,89.32,4,High
38.23,6.75,75.77,2,Medium
37.51,6.89,57.37,1,Low
36.13,5.64,40.94,0,Low
38.23,7.79,93.05,4,High
37.43,5.03,67.05,1,Low
38.45,6.05,74.2,2,Medium
38.23,8.48,79.5,4,High
39.44,7.9,82.25,4,High
38.32,8.14,90.82,5,High
39.9,7.77,100.0,5,High
37.94,7.75,81.31,3,Medium
36.88,5.29,38.52,0,Low
38.54,8.57,100.0,6,High
39.24,8.6,78.31,5,High
38.29,7.85,100.0,4,High
37.53,7.72,60.52,2,Medium
37.22,5.03,26.26,0,Low
37.7,8.03,63.94,3,Medium
38.79,6.12,68.07,3,Medium
38.39,8.36,88.2,5,High
37.92,6.86,71.64,2,Medium
36.32,4.92,44.46,0,Low
36.76,3.73,36.23,1,Low
38.39,9.18,90.15,5,High
38.61,8.19,80.28,5,High
36.13,4.81,14.28,0,Low
38.63,7.46,83.19,3,Medium
38.24,6.44,59.63,1,Low
37.93,8.8,66.35,4,High
38.81,9.0,100.0,6,High
36.36,4.28,30.24,0,Low
36.5,5.04,51.67,0,Low
37.24,4.76,51.39,0,Low
37.29,4.93,19.52,0,Low
39.02,7.58,91.18,5,High
38.09,8.6,85.49,5,High
36.37,5.86,44.51,0,Low
37.68,7.17,83.49,2,Medium
36.94,5.42,28.44,0,Low
36.5,4.49,32.23,0,Low
35.93,4.82,44.17,0,Low
36.64,4.7,58.09,0,Low
38.25,6.96,55.98,1,High
38.84,7.75,93.06,5,High
37.91,7.26,79.08,2,Medium
38.91,8.31,100.0,6,High
37.44,9.04,67.27,3,Medium
36.31,3.06,47.89,1,Low
36.14,4.67,56.08,0,Low
35.94,4.84,35.97,0,Low
35.97,5.15,43.21,0,Low
39.02,8.32,78.43,5,High
38.7,8.1,98.39,6,High
39.71,9.07,96.02,6,High
36.81,7.66,71.11,2,Medium
38.49,6.11,65.76,2,Medium
37.34,6.71,80.89,1,Low
38.52,7.71,70.08,4,High
38.24,8.66,77.6,4,High
39.1,9.08,85.4,6,High
38.87,8.41,88.77,6,High
37.5,6.9,74.45,2,Medium
37.02,5.1,54.47,0,Low
39.13,7.82,84.95,4,High
38.22,5.98,71.81,2,Medium
38.56,8.78,89.0,6,High
36.39,6.49,73.38,1,Low
39.48,8.07,88.67,6,High
37.8,5.79,51.52,1,Low
39.81,8.04,91.76,6,High
37.83,8.76,72.62,4,High
36.57,5.16,36.28,0,Low
37.5,6.2,62.27,0,Low
37.29,7.04,71.58,1,Low
38.82,8.67,88.62,6,High
38.0,6.62,93.02,3,Medium
39.19,7.89,100.0,5,High
38.11,7.28,87.19,3,Medium
37.57,5.6,85.52,3,Medium
38.13,9.29,73.25,4,High
38.78,7.62,86.83,5,High
36.31,4.02,64.11,0,Low
37.79,7.41,74.71,2,Medium
36.94,5.09,53.04,0,Low
39.0,8.07,100.0,6,High
38.1,7.13,63.9,1,Low
37.72,6.41,55.42,1,Low
38.03,7.81,75.54,3,Medium
38.22,6.35,74.53,2,Medium
38.78,8.14,89.82,6,High
37.89,7.67,79.4,3,Medium
37.01,7.69,65.42,2,Medium
36.11,4.17,68.72,1,Low
37.17,5.08,39.96,0,Low
37.25,6.79,59.17,0,Low
39.46,8.35,78.14,5,High
38.9,7.87,95.97,5,High
37.32,8.28,69.83,3,Medium
37.7,7.74,64.75,2,Medium
37.56,7.86,78.32,3,Medium
37.29,5.52,41.8,0,Low
36.76,4.42,45.05,0,Low
37.06,6.65,66.97,1,Low
35.68,4.73,39.22,0,Low
36.58,6.26,52.95,0,Low
36.72,4.75,55.31,0,Low
36.19,5.32,59.71,0,Low
38.59,6.69,51.16,2,Medium
37.98,8.19,89.47,5,High
38.57,7.54,86.7,5,High
38.02,6.17,79.01,2,Medium
37.47,6.37,80.75,1,Low
36.25,5.65,70.71,1,Low
37.22,5.73,37.73,0,Low
37.26,6.64,63.74,0,Low
37.53,6.57,75.32,2,Medium
35.67,4.48,26.77,0,Low
38.15,7.01,62.13,1,Low
36.36,4.2,53.9,0,Low
37.07,4.57,59.15,0,Low
39.29,7.89,88.21,5,High
37.75,6.87,65.9,2,Medium
37.32,6.35,60.95,0,Low
39.52,9.09,84.39,5,High
38.21,8.98,98.97,5,High
38.06,7.42,91.37,3,Medium
36.87,6.54,86.18,2,Medium
39.79,8.59,81.33,5,High
37.84,6.04,60.3,1,Low
38.31,8.85,86.51,5,Low
38.54,8.54,73.63,5,High
36.67,6.62,78.54,1,Low
38.12,7.5,84.49,2,Medium
38.55,6.95,49.68,2,Medium
39.09,8.03,94.2,6,High
36.33,3.64,46.6,1,Low
38.55,8.49,100.0,6,High
38.18,5.64,72.46,2,Medium
39.64,7.88,88.07,5,High
37.85,5.91,95.52,3,Medium
38.86,8.41,92.14,6,High
36.51,4.84,31.61,0,Low
36.49,5.42,40.98,0,Low
37.67,5.56,68.39,2,Medium
39.6,7.48,85.38,4,High
39.27,7.66,100.0,5,High
38.18,7.58,68.54,3,Medium
37.22,7.49,57.39,0,Low
37.96,7.1,74.72,2,Medium
38.31,8.63,84.97,4,High
38.22,5.97,74.67,2,Medium
37.91,7.6,71.54,3,Medium
38.26,8.2,95.39,5,High
37.18,4.7,69.83,1,Low
39.07,8.53,99.53,6,High
35.94,5.88,48.29,0,Low
36.61,3.33,42.71,1,Low
39.45,8.8,94.61,6,High
38.0,8.55,95.04,5,High
40.17,7.18,86.89,4,High
39.0,8.21,88.13,6,High
37.35,5.97,59.76,0,Low
37.29,6.76,68.35,1,Low
37.04,4.96,57.75,0,Low
36.59,4.61,44.92,0,Low
36.39,5.36,35.25,0,Low
36.31,5.6,45.73,0,Low
37.32,5.62,63.84,0,Low
38.07,8.57,89.97,5,High
38.67,7.84,100.0,5,High
37.24,7.44,67.84,1,Low
38.58,8.71,98.66,6,High
38.45,8.64,94.6,5,High
38.22,6.68,94.76,3,High
37.05,5.92,65.22,1,Low
36.66,5.41,72.24,1,Low
39.57,7.7,76.6,4,High
35.8,5.01,35.63,0,Low
38.77,6.37,53.62,2,Medium
36.24,5.76,36.2,0,Low
39.11,8.56,96.15,6,High
38.16,7.4,72.01,2,Medium
35.88,5.42,45.51,0,Low
37.24,4.0,64.73,0,Low
38.06,6.48,53.33,1,Low
38.07,7.34,68.02,2,Medium
37.98,9.43,81.26,4,High
36.13,4.87,52.5,0,Low
39.86,8.25,93.69,6,High
38.23,8.06,68.69,4,High
38.53,8.66,93.91,6,High
36.71,5.01,34.76,0,Low
36.67,4.95,44.18,0,Low
36.42,5.1,37.27,0,Low
38.06,5.67,64.15,1,Low
40.12,7.41,93.41,4,High
36.77,5.87,59.59,0,Low
38.0,5.31,70.99,2,Medium
36.51,3.82,49.86,1,Low
38.99,7.46,83.2,3,Medium
39.25,8.89,100.0,6,High
39.8,7.32,95.97,4,High
38.34,8.57,97.56,5,High
38.01,6.91,75.27,2,Medium
39.22,8.32,96.74,6,High
36.53,4.03,48.32,0,Low
38.62,8.28,96.05,6,High
38.59,8.42,66.82,5,High
39.56,8.8,92.99,6,High
38.01,7.24,66.84,2,Medium
38.52,8.96,100.0,6,High
37.7,6.04,82.77,2,Medium
36.76,4.56,50.11,0,Low
39.28,9.03,100.0,6,High
35.91,5.14,70.68,1,Low
36.57,5.99,52.41,0,Low
37.53,6.01,82.24,2,Medium
36.5,4.95,57.43,0,Low
39.17,7.96,99.72,5,High
38.42,7.34,76.91,2,Low
35.95,4.55,42.44,0,Low
38.89,9.27,99.98,6,High
37.3,7.87,69.51,2,Medium
36.96,5.72,15.89,0,Low
38.83,8.64,85.87,6,High
38.26,6.43,75.42,2,Medium
35.92,5.53,48.03,0,Low
38.58,7.72,100.0,5,High
38.53,7.86,78.6,4,High
38.41,8.07,79.64,4,High
39.29,8.59,81.6,5,High
38.13,8.01,75.69,4,High
39.19,8.79,79.7,5,High
36.58,4.83,50.33,0,Low
36.8,4.88,36.17,0,Low
38.07,5.99,68.06,2,Medium
38.92,8.08,85.4,6,High
37.32,7.37,91.87,2,Medium
37.88,5.89,56.38,1,Low
38.49,7.77,87.39,4,High
39.19,7.46,84.54,3,Medium
38.78,9.3,91.86,6,High
36.81,5.38,43.5,0,Low
39.95,7.56,95.29,5,High
38.2,8.17,75.62,4,High
38.45,6.3,71.64,2,Medium
37.38,6.84,73.68,1,Low
36.85,4.43,60.36,0,Low
36.04,5.05,34.01,0,Low
37.9,6.68,75.92,2,Medium
38.13,8.45,81.2,4,High
39.4,8.52,79.97,5,High
36.15,6.24,55.87,0,Low
39.25,7.39,84.62,3,Low
36.55,5.17,45.94,0,Low
38.72,7.94,91.86,5,High
38.0,5.86,60.01,1,Low
38.64,6.92,65.88,3,Medium
38.22,8.99,91.49,5,High
37.82,6.38,83.12,2,Medium
38.99,8.54,84.07,5,High
38.04,5.56,72.53,2,Medium
38.98,8.22,92.07,6,High
37.31,6.53,76.67,1,Low
36.83,6.93,52.37,0,Low
38.72,7.6,87.49,5,High
38.1,7.12,67.86,2,Medium
37.81,7.38,78.41,2,Medium
36.98,4.54,50.63,0,Low
37.38,4.71,47.14,0,Low
37.46,6.74,67.33,1,Low
36.38,5.78,37.82,0,Low
39.09,7.36,94.15,4,High
39.28,7.9,90.07,5,High
38.97,8.76,83.54,5,High
39.17,8.49,70.53,5,High
38.16,7.36,68.56,2,Medium
36.94,4.6,51.53,0,Low
38.02,6.18,78.64,2,Medium
39.02,8.59,86.33,6,High
38.85,8.9,89.23,6,High
37.35,5.79,44.62,0,Low
37.61,5.34,79.45,2,Medium
38.04,6.13,55.73,1,Low
36.43,5.59,29.79,0,Low
35.41,3.47,66.58,2,Medium
37.95,6.14,67.02,2,Medium
36.34,5.17,44.85,0,Low
36.34,5.21,33.28,0,Low
37.66,6.9,83.84,2,Medium
37.06,3.75,39.36,1,Medium
36.92,6.72,84.57,1,Low
36.49,5.23,47.21,0,Low
36.82,5.93,40.68,0,Low
37.79,5.87,74.84,2,Medium
38.5,8.5,80.85,4,High
37.66,7.73,66.07,3,Medium
39.01,8.65,90.88,6,High
38.4,6.73,77.9,2,Medium
37.51,6.07,76.55,2,Medium
38.37,6.66,80.23,2,Medium
39.07,7.98,91.86,5,High
38.87,8.52,90.37,6,High
39.93,8.92,90.64,6,High
38.48,8.1,92.48,5,High
38.27,5.91,79.77,2,Medium
37.41,7.87,84.63,2,Medium
39.33,8.66,100.0,6,High
35.94,6.41,57.79,0,Low
37.39,7.2,67.22,1,Low
39.35,7.86,81.07,4,High
37.63,6.92,56.57,1,Low
36.96,5.42,35.54,0,Low
37.91,7.25,74.05,2,Medium
36.75,6.05,47.46,0,Low
39.02,9.43,79.7,5,High
38.76,8.26,91.55,6,High
36.64,5.89,43.59,0,High
37.57,5.35,72.76,2,Medium
39.17,8.61,86.7,6,High
39.49,9.41,100.0,6,High
36.62,5.15,35.96,0,Low
37.34,6.84,67.08,1,Low
37.88,6.55,58.27,1,Low
37.74,6.31,79.27,2,Medium
35.61,5.0,46.15,0,Low
36.33,4.36,44.91,0,Low
39.83,8.01,89.57,6,High
36.5,5.39,52.76,0,Low
36.74,5.14,46.2,0,Low
36.76,6.42,59.53,0,Low
37.03,4.39,41.87,0,Low
37.34,4.46,39.2,0,Low
37.95,8.26,72.07,4,High
38.72,8.77,100.0,6,High
36.42,5.64,43.45,0,Low
37.1,5.77,39.6,0,Low
36.0,4.37,46.49,0,Low
37.42,6.23,59.35,0,Low
35.62,4.29,22.64,0,Low
37.82,8.22,100.0,5,High
37.0,7.04,60.11,0,Low
38.83,8.94,94.8,6,High
38.25,5.01,62.47,1,Low
37.94,6.64,68.59,2,Medium
38.91,8.52,91.19,6,High
38.1,7.46,64.44,1,Low
39.6,7.54,100.0,5,High
38.69,7.63,100.0,5,High
37.65,6.5,70.96,2,Medium
38.82,6.08,90.46,4,High
37.12,5.92,42.75,0,Low
38.24,8.66,85.42,5,High
38.79,9.04,91.45,6,High
38.45,8.83,84.78,4,High
36.71,5.46,48.01,0,Low
39.43,9.24,85.33,6,High
38.15,6.54,68.69,2,Medium
36.37,4.81,43.8,0,Low
36.62,4.14,30.65,0,Low
37.34,5.55,76.36,1,Low
36.42,5.21,47.26,0,Low
36.9,3.18,42.11,1,High
37.92,7.4,70.81,2,Medium
38.46,6.71,68.02,2,Medium
36.92,4.77,28.76,0,Low
38.99,8.62,100.0,6,High
40.27,8.34,79.52,5,High
37.71,7.27,60.53,1,Low
38.8,7.93,96.49,5,High
38.48,6.54,82.03,2,Medium
35.91,4.15,45.11,0,Low
36.3,4.67,42.41,0,Low
38.61,7.88,79.24,4,High
39.61,8.25,84.08,5,High
38.55,9.05,100.0,6,High
35.85,6.6,49.65,0,Low
37.08,5.49,60.73,0,Low
36.76,4.17,53.0,0,Low
37.08,5.2,43.24,0,Low
36.17,5.55,62.88,0,Low
38.18,7.15,70.08,2,Medium
35.95,4.45,19.33,0,Low
39.12,8.18,72.48,5,High
37.9,8.38,63.01,3,Medium
36.36,5.04,59.58,0,Low
37.55,7.93,70.46,3,Medium
38.49,9.04,92.19,5,Low
36.67,4.65,44.98,0,Low
37.08,4.86,27.04,0,Low
35.74,5.43,31.18,0,Low
38.86,8.46,91.27,6,High
36.44,5.3,64.68,0,Low
37.22,6.52,54.34,0,Low
38.41,7.08,71.66,2,Medium
39.63,8.89,93.65,6,Medium
36.98,5.57,42.71,0,Low
39.58,9.2,84.0,5,High
39.11,8.49,85.82,6,High
38.11,7.23,87.59,3,Medium
36.56,4.12,42.93,0,Low
39.35,8.45,87.78,6,High
36.98,4.2,47.45,0,Low
37.01,7.35,53.26,0,Low
37.32,7.94,58.43,1,Low
36.67,4.71,26.94,0,Low
36.9,5.97,64.25,0,Low
37.25,5.77,43.16,0,Low
36.8,6.03,59.81,0,Low
36.01,4.63,68.21,1,Low
36.03,5.66,39.83,0,Low
38.66,7.17,66.18,3,Medium
40.13,8.19,100.0,6,High
36.34,4.64,62.36,0,Low
35.66,5.38,43.55,0,Low
36.73,4.06,39.4,0,Low
37.65,6.74,59.84,1,Low
36.85,6.26,43.08,0,Low
38.78,6.34,68.22,3,Medium
35.98,5.5,52.0,0,Low
37.05,5.91,43.67,0,Low
38.95,5.58,55.73,2,Medium
38.71,6.95,79.99,3,Medium
37.65,5.3,77.8,2,Medium
38.13,8.51,98.49,5,High
38.19,7.23,67.85,2,Medium
39.24,8.57,97.15,6,Medium
38.25,6.8,65.17,2,Medium
36.25,5.62,27.98,0,Low
36.44,6.13,57.65,0,Low
37.28,5.94,30.91,0,Low
37.86,7.7,85.91,4,High
37.48,3.44,40.58,1,Low
39.59,8.98,97.63,6,High
38.33,7.21,53.29,1,Low
38.54,8.82,88.56,6,High
38.78,8.42,89.34,6,High
38.84,7.6,66.65,4,High
36.78,4.21,48.87,0,Low
38.86,7.5,81.06,3,Medium
36.63,5.15,20.86,0,Low
36.83,5.14,19.15,0,Low
39.12,8.97,84.76,5,High
37.4,5.92,77.37,1,Low
36.38,6.0,45.09,0,Low
37.08,5.52,84.37,1,Low
37.95,5.91,71.01,2,Medium
39.61,9.5,93.87,6,High
37.38,7.19,100.0,2,Medium
36.41,5.46,62.79,0,Low
36.4,5.05,37.47,0,Low
38.11,6.95,91.32,3,Medium
37.18,4.25,51.3,0,Low
36.8,5.48,45.6,0,Low
37.31,5.82,54.17,0,Low
35.88,5.96,33.11,0,Low
39.24,8.94,80.77,5,High
36.65,4.87,55.25,0,Low
36.81,4.49,29.44,0,Low
38.34,8.48,93.62,5,High
37.59,4.49,43.57,1,Low
39.44,8.97,93.43,6,High
36.27,5.64,55.86,0,Low
35.77,4.36,54.88,0,Low
36.85,5.74,38.08,0,Low
38.26,7.89,86.06,4,High
37.53,6.58,67.17,2,Medium
37.7,7.08,64.23,1,Low
35.75,3.9,30.52,1,High
35.71,4.62,28.6,0,Low
38.44,6.44,69.52,2,Medium
36.83,4.47,46.91,0,Low
38.11,7.21,56.33,1,Low
38.83,8.53,96.65,6,High
38.72,8.76,83.02,5,High
36.3,6.74,61.78,0,Low
35.61,4.55,50.64,0,Low
36.8,4.61,44.61,0,Low
39.47,8.26,83.49,5,High
38.22,5.98,68.22,2,Medium
37.85,5.99,51.48,1,Low
38.38,5.37,73.69,2,Medium
36.9,4.71,33.68,0,Low
39.05,8.26,88.56,6,High
39.15,8.48,91.61,6,High
39.91,7.83,100.0,5,High
39.57,8.94,87.66,6,High
36.83,4.39,40.51,0,Low
37.06,4.26,43.33,0,Low
36.35,6.65,47.8,0,Low
39.61,7.98,98.06,5,High
37.67,7.64,85.7,4,High
37.46,7.25,63.77,0,Low
39.43,7.87,74.28,4,High
37.9,5.31,67.03,2,Medium
39.88,9.5,81.53,5,High
38.32,8.01,100.0,5,High
36.46,4.34,58.75,0,Low
37.68,6.76,63.39,1,Low
39.62,7.35,100.0,4,High
39.67,8.29,85.97,6,High
36.58,5.15,33.96,0,Low
36.21,4.15,35.19,0,Low
37.69,7.15,71.21,2,Medium
37.57,8.48,90.05,5,High
36.96,4.88,47.07,0,Low
38.21,5.3,77.77,2,Medium
36.36,4.84,43.09,0,Low
38.22,5.85,38.22,1,Low
38.24,6.06,57.39,1,Medium
38.3,5.51,62.79,1,Low
37.92,7.93,55.89,2,Medium
35.83,3.58,44.29,1,Low
38.88,8.16,88.43,6,High
36.82,4.78,58.24,0,Low
38.32,7.19,88.62,3,Medium
35.93,5.37,23.67,0,Low
39.0,8.17,81.72,5,High
37.9,6.25,72.0,2,Medium
37.08,5.9,73.5,1,Low
37.12,4.36,51.9,0,Low
38.33,8.43,89.47,5,High
36.62,4.91,43.16,0,Low
37.25,6.86,61.97,0,Low
38.76,8.64,91.48,6,High
38.56,8.58,70.83,5,High
37.78,7.35,85.89,3,Medium
37.44,5.49,49.28,0,Low
38.99,7.87,83.47,4,High
38.62,8.72,74.51,5,High
36.16,4.71,48.66,0,Low
36.68,4.85,37.07,0,Low
38.81,7.74,90.06,5,High
36.29,6.11,49.98,0,Low
37.97,5.98,65.63,2,Medium
35.98,5.27,38.93,0,Low
36.32,7.07,37.05,0,Low
37.94,8.66,100.0,5,High
37.24,5.52,42.73,0,Low
39.01,8.73,93.18,6,High
38.8,9.39,92.01,6,High
36.87,5.19,46.3,0,Low
36.96,5.18,36.67,0,Low
38.86,8.02,100.0,6,High
38.38,6.11,71.31,2,Medium
36.12,4.49,44.79,0,Low
39.43,7.88,95.23,5,High
35.7,4.84,26.18,0,Low
35.84,4.27,49.96,0,Low
37.99,9.42,81.99,4,High
36.5,5.5,50.55,0,Low
37.74,6.62,77.49,2,Medium
40.11,7.74,89.93,5,High
37.25,6.1,60.29,0,Low
37.41,7.36,62.17,0,Low
37.7,7.59,72.15,3,Medium
35.88,4.2,29.66,0,Low
38.17,6.11,64.36,1,Low
38.37,8.48,87.7,5,High
37.23,5.92,53.06,0,Low
39.26,7.99,100.0,5,High
38.03,6.9,87.4,3,Medium
38.82,6.65,55.94,2,Medium
35.77,5.46,32.54,0,Low
38.47,6.26,67.32,2,Medium
36.41,6.8,54.34,0,Low
36.29,4.97,46.56,0,Low
39.22,7.63,82.33,4,High
36.02,5.51,44.83,0,Low
37.95,5.45,76.93,2,Low
38.44,5.95,49.79,1,Low
35.99,6.28,44.88,0,Low
36.46,4.87,44.61,0,Low
38.06,5.95,86.23,3,High
37.67,4.54,76.34,2,Medium
38.96,7.96,85.4,5,High
39.18,8.58,88.15,6,High
36.56,4.65,47.38,0,Low
36.72,3.92,32.67,1,Low
36.49,4.88,64.32,0,Low
38.22,8.68,74.04,4,High
